fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,10,JULY,751650,04120020,42 
2015,10,JULY,000002810,06167004,10 
2015,10,JULY,000016204,05174010,"7,150 "
2015,10,JULY,000074425,06150140,400 
2015,10,JULY,000074425,06159194,750 
2015,10,JULY,000195736,05110010,561 
2015,10,JULY,000356892,04125019,900 
2015,10,JULY,000362538,09150924,346 
2015,10,JULY,000364514,79BL0950,272 
2015,10,JULY,000364514,79CN0095,50 
2015,10,JULY,000364514,79NR0276,100 
2015,10,JULY,000364514,79PKCN66,250 
2015,10,JULY,000402059,06160457,72 
2015,10,JULY,000402059,06162022,224 
2015,10,JULY,000418043,70114004,672 
2015,10,JULY,000418043,74741944,336 
2015,12,SEPTEMBER,023088,06148207,60 
2015,12,SEPTEMBER,076005,09120068,144 
2015,12,SEPTEMBER,200002,05116007,85 
2015,12,SEPTEMBER,200002,05178005,59 
2015,12,SEPTEMBER,200002,06160193,128 
2015,12,SEPTEMBER,200002,06163610,200 
2015,12,SEPTEMBER,200311,02115021,"13,020 "
2015,12,SEPTEMBER,200515,79NR7236,100 
2015,12,SEPTEMBER,200520,04140051,120 
2015,12,SEPTEMBER,200633,07160239,"1,040 "
2015,12,SEPTEMBER,201160,07160011,100 
2015,12,SEPTEMBER,455075,06160290,241 
2015,12,SEPTEMBER,501084,06160101,120 
2015,12,SEPTEMBER,501084,06166085,280 
2015,12,SEPTEMBER,000002810,06140002,200 
2015,12,SEPTEMBER,000192801,06110145,24 
2015,12,SEPTEMBER,000421254,04126024,600 
2015,12,SEPTEMBER,000444128,03140071,"5,000 "
2015,12,SEPTEMBER,200002,06130005,112 
2015,12,SEPTEMBER,200002,07161418,42 
2015,12,SEPTEMBER,200633,07160143,51 
2015,12,SEPTEMBER,200633,07160252,280 
2015,12,SEPTEMBER,200679,04127042,720 
2015,12,SEPTEMBER,200728,06164418,96 
2015,12,SEPTEMBER,200728,06164424,48 
2015,12,SEPTEMBER,200728,06164432,224 
2015,12,SEPTEMBER,751650,04120011,56 
2015,12,SEPTEMBER,000277875,79NR0346,50 
2015,12,SEPTEMBER,000291763,09150413,416 
2015,12,SEPTEMBER,000362538,09150924,394 
2015,12,SEPTEMBER,000364514,79CN2135,150 
2015,12,SEPTEMBER,000418043,70110044,336 
2015,12,SEPTEMBER,000418043,70120344,240 
2015,12,SEPTEMBER,000418043,70128464,"1,344 "
2015,12,SEPTEMBER,000418043,71712156,120 
2015,12,SEPTEMBER,000418043,74744123,60 
2015,12,SEPTEMBER,000418043,74745483,"1,056 "
2015,12,SEPTEMBER,000418043,78780157,"1,752 "
2015,12,SEPTEMBER,000422837,06163689,60 
2015,12,SEPTEMBER,000454231,05170008,595 
2015,12,SEPTEMBER,000454231,05171003,"1,890 "
2015,12,SEPTEMBER,017911,70111104,672 
2015,12,SEPTEMBER,017911,70111944,"3,024 "
2015,12,SEPTEMBER,017911,76760023,264 
2015,12,SEPTEMBER,023088,06140006,96 
2015,12,SEPTEMBER,048249,09120008,90 
2015,12,SEPTEMBER,049070,06160282,875 
2015,12,SEPTEMBER,200002,06160003,36 
2015,12,SEPTEMBER,200002,06160139,810 
2015,12,SEPTEMBER,200362,80807588,432 
2015,12,SEPTEMBER,200520,04140002,256 
2015,12,SEPTEMBER,200587,06164413,612 
2015,12,SEPTEMBER,200627,01120226,962 
2015,12,SEPTEMBER,200633,07160219,288 
2015,12,SEPTEMBER,201089,06160344,420 
2015,12,SEPTEMBER,201160,07160004,120 
2015,12,SEPTEMBER,292238,05150076,"2,100 "
2015,12,SEPTEMBER,505049,05170001,"1,440 "
2015,12,SEPTEMBER,751650,04120056,210 
2015,12,SEPTEMBER,000192801,06110153,92 
2015,12,SEPTEMBER,000364514,79PKCN66,150 
2015,12,SEPTEMBER,200002,06130006,49 
2015,12,SEPTEMBER,200002,10110220,48 
2015,12,SEPTEMBER,200362,06160013,576 
2015,12,SEPTEMBER,200679,04127045,403 
2015,12,SEPTEMBER,200737,06161673,126 
2015,12,SEPTEMBER,201089,06160344,140 
2015,12,SEPTEMBER,201129,07161008,108 
2015,12,SEPTEMBER,505049,05170001,528 
2015,12,SEPTEMBER,000069108,06140048,50 
2015,12,SEPTEMBER,000074425,06150048,50 
2015,12,SEPTEMBER,000192801,06110012,66 
2015,12,SEPTEMBER,000195736,05110074,108 
2015,12,SEPTEMBER,000277875,70116401,324 
2015,12,SEPTEMBER,000277875,70124116,720 
2015,12,SEPTEMBER,000341588,06110320,140 
